Track Name,Popularity,Danceability,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,intensity
Shake Your Bon-Bon,48,0.638,0.0444,0.0942,0.0,0.327,0.762,100.03,-4.349554
True Blue,51,0.534,0.0359,0.715,3.24e-06,0.11,0.499,108.886,-3.8571910000000003
Onionskin,45,0.516,0.0704,0.0213,1.3e-05,0.158,0.456,99.086,-2.8056460000000003
Brand New Key,55,0.667,0.0353,0.817,0.0,0.107,0.82,83.816,-3.108128
The Clapping Song,34,0.866,0.207,0.0712,0.000116,0.148,0.662,88.972,-7.053072
Ready for the Weekend,54,0.818,0.0375,0.126,3.2e-05,0.0382,0.937,137.969,-3.431669
Heal the World,71,0.545,0.0485,0.537,1.8e-06,0.104,0.101,80.948,-3.9018249999999997
How Do I Say Goodbye,81,0.4,0.0674,0.214,0.0,0.0656,0.393,81.552,-4.040223
Yeah!,0,0.895,0.0977,0.0219,0.0,0.0403,0.574,105.004,-3.7309349999999997
Speed of Sound,76,0.514,0.0577,0.00488,0.0345,0.0746,0.353,123.067,-6.0749699999999995
Welcome To New York,0,0.789,0.0323,0.0348,1.64e-06,0.302,0.658,116.992,-3.0191079999999997
We Built This City,0,0.649,0.0353,0.0471,0.0,0.0816,0.702,144.226,-7.249619999999999
If You're Too Shy (Let Me Know) [Edit],0,0.653,0.0311,0.00398,0.00455,0.0927,0.386,125.641,-3.902652
Free Ride,64,0.674,0.0597,0.29,0.00322,0.189,0.814,124.204,-8.181922
2 Hearts,30,0.667,0.035,9.31e-05,4.33e-05,0.0572,0.492,111.996,-3.2472090000000002
My Eyes Adored You,46,0.446,0.033,0.272,0.0,0.16,0.396,137.829,-5.0171399999999995
Child's Play,0,0.608,0.0408,0.0779,0.00143,0.321,0.59,124.028,-5.881832
In My Little Corner Of The World,3,0.483,0.0281,0.845,1.58e-05,0.348,0.404,107.728,-3.948942
"Up, Up and Away",55,0.393,0.0305,0.599,0.0,0.333,0.515,107.743,-5.2855620000000005
The Living Years,65,0.527,0.0321,0.655,0.0,0.0865,0.277,97.893,-5.332898999999999
SOS,72,0.415,0.0278,0.251,0.00197,0.289,0.579,125.056,-3.9571499999999995
Free Your Mind,60,0.765,0.0565,0.0894,0.0,0.393,0.809,100.026,-5.419782
Talk Like That,0,0.573,0.0315,0.0013,4.06e-05,0.18,0.864,135.017,-3.2558599999999998
I Won't Back Down,0,0.767,0.0287,0.0643,7.88e-06,0.256,0.934,113.906,-3.6197280000000003
Monsters (feat. Demi Lovato and blackbear),45,0.502,0.0476,0.0138,0.0,0.515,0.805,162.097,-2.8090800000000002
1985,57,0.607,0.0665,0.000246,0.0,0.337,0.853,119.955,-3.882516
#thatPOWER,69,0.797,0.0584,0.00112,7.66e-05,0.0748,0.402,127.999,-3.706368
Friday I'm In Love,51,0.553,0.0383,0.00106,0.000655,0.368,0.458,135.977,-4.019553999999999
Everybody On The Floor (Pump It) - Radio Edit,0,0.745,0.048,0.0877,0.874,0.117,0.919,144.982,-7.120079999999999
The Old Lamplighter,40,0.604,0.0357,0.977,0.0,0.0993,0.553,92.238,-1.7619
Back 2 Good,60,0.559,0.0246,0.106,0.0,0.13,0.479,89.051,-4.76532
Black Box,45,0.689,0.0264,0.00288,0.0,0.207,0.47,123.008,-3.8181880000000006
